Bedriftsnavn; Adresse; Postnummer; Poststed; Godkjenningstyper; Organisasjonsnummer; Godkjenningsnummer
Mobile Kokstad AS; Kokstadveien 22- 24; 5257; KOKSTAD; BILVERKSTED01, KONTROLLORGAN01, BILSKADE; 952574329; 6577
Sagstuen Auto AS; Nesoddveien 389, Sagstuen; 1455; NESODDTANGEN; BILVERKSTED01B, KONTROLLORGAN01B; 882150232; 766
SULLIS BILVERKSTED AS; BEDRIFTSVEIEN 10; 0950; OSLO; BILVERKSTED01, KONTROLLORGAN01; 919439807; 31333
Biltunet Voss AS; Storrviki 2; 5701; Voss; BILVERKSTED01B, KONTROLLORGAN01B; 985281726; 6970
Mobile Hønefoss AS; Dronning Åstas gate 20; 3511; Hønefoss; BILVERKSTED01, KONTROLLORGAN01; 984060343; 3422
OTTADALEN MØLLE SA; BERGOMSVEGEN 49; 2686; LOM; HJUL; 913980484; 31484
Lillehammer Bilskadesenter A/S; Industrigt. 58 B; 2619; Lillehammer; BILSKADE; 879940222; 2631
AS Insignia; Konows gate 67 B; 0196; oslo; BILVERKSTED01, KONTROLLORGAN01; 979474075; 1528
AUTOSERVICE TROSVIK AS; Industriveien 1; 1614; Fredrikstad; BILVERKSTED01, KONTROLLORGAN01; 922789320; 352
AGROSENTERET AS; LIAVEGEN 25; 5132; NYBORG; TRAKTOR; 940435781; 29586
DEKKSENTERET NESODDEN AS; TORNEVEIEN 21; 1454; FAGERSTRAND; HJUL; 913367030; 31516
FLORØ BIL & HAVNESERVICE AS; STRANDAVEGEN 19; 6900; FLORØ; BILVERKSTED01, BILVERKSTED02, TRAKTOR, KONTROLLORGAN01, KONTROLLORGAN02; 975779955; 7075
AMTMANNSVINGEN MOTORSENTER AS; BERGSMYRVEIEN 41; 4900; TVEDESTRAND; HJUL, LYSUTSTYR, HENGERESPALOPSBREMSEANLEGG, BILGLASS; 981513320; 29759
BRENNÅSEN BILVERKSTED AS; ROSSELANDSVEGEN 8; 4647; BRENNÅSEN; KONTROLLORGAN01, BILVERKSTED01; 921621973; 31130
KG MOTOR AS; ROKKEVEIEN 14; 1779; HALDEN; KONTROLLORGAN01, BILVERKSTED01; 915356559; 30459
LARSEN BILSKADESERVICE V/KENT LARSEN; SVENELIA 18B; 3622; SVENE; BILGLASS; 990447829; 29756
BILXTRA SKØYEN AS; Hovfaret 17G; 0275; OSLO; BILVERKSTED01, KONTROLLORGAN01; 916795521; 30674
Toyota Oslo AS ; Kabelgata 6; 0580; OSLO; BILVERKSTED01B, KONTROLLORGAN01B; 950273038; 1364
Thord Paulsen AS avd. Hovland; Hovland; 5773; HOVLAND; BILVERKSTED01B, KONTROLLORGAN01, MOTORSYKKELOGMOPED; 980864979; 26002
Bil i Nord AS, Finnsnes; Botnhågen; 9300; Finnsnes; BILVERKSTED01, KONTROLLORGAN01; 983666280; 9807
BRUKTBILCENTRALEN; pb.110; 5207; Søfteland; BILVERKSTED01; 956288606; 6519
VIGANESET SERVICESENTER AS; VIGANESET 76; 4130; HJELMELAND; TRAKTOR, BILVERKSTED01B, KONTROLLORGAN01B; 998327431; 28218
Bulder Verksted AS, avd Solbergmoen; Overgangen 5; 3058; SOLBERGMOEN; BILVERKSTEDALLE, KONTROLLORGAN04; 993026352; 3667
Stensrud mek.; Ulefossveien  20; 3730; SKIEN; BILVERKSTED01, KONTROLLORGAN01; 982820901; 4820
FERMANN SERVICE AS; VÆRVEIEN 39; 9770; MEHAMN; KONTROLLORGAN01, BILVERKSTED01; 981575954; 30034
CENTRUM BILGLASS EINAR TORSVIK; NYGÅRDSGATEN 93; 5008; BERGEN; BILGLASS; 970354506; 29844
Etac Bil AS avd. Elverum; Industrigata 10; 2405; Elverum; BILVERKSTED01, PABYGGER; 999065465; 2258
HAUGALAND VIDEREGÅENDE SKOLE; Spannavegen 38; 5531; HAUGESUND; KONTROLLORGAN01, BILVERKSTED01; 974624486; 29922
DEKKMANN AS AVD DRAMMEN 5254; Teglverksveien 17; 3413; LIER; HJUL, HJULUTRUSTNING, HENGERESPALOPSBREMSEANLEGG, BILVERKSTED01, KONTROLLORGAN01; 974292874; 29076
Helgeland Maskin AS; Leira 20; 8665; MOSJØEN; TRAKTOR; 954419819; 20899
Strømmen Bilservice A/S; Industriveien 7; 2020; SKEDSMOKORSET; BILVERKSTED01, KONTROLLORGAN01; 980478025; 1137
Myre Karosseri og Bilpleie AS; Storgata 53; 8430; MYRE; BILVERKSTED01; 968061194; 9368
Hurtigruta Carglass Sandefjord avd. Kilen; Kilgata 12; 3217; SANDEFJORD; BILGLASS; 921758944; 31014
Autotransport Service AS PDO Center ; Lierterminalen 4; 3400; LIER; BILVERKSTED01, ALKOLASVERKSTED; 932865734; 23641
Auto 8-8 Vestlandske AS; Lerstadvegen 534; 6018; ÅLESUND; BILVERKSTED01B, BILSKADE, KONTROLLORGAN01B; 982779529; 7321
Otta Karosseri og Lakk AS; Skansen 20 B; 2670; OTTA; BILSKADE; 988368954; 2824
FELGTEKNIKK NORGE AS; LISLEBYVEIEN 191; 1617; FREDRIKSTAD; HJUL; 999080480; 30654
RIIS MONTASJE AS avd Mjøndalen; Strandveien 39-41; 3050; MJØNDALEN; BILGLASS; 921979436; 29712
ØYA BIL AS; Skansen 10; 2670; OTTA; BILVERKSTED01B, BILVERKSTED02, KONTROLLORGAN01B, MOTORSYKKELOGMOPED, KONTROLLORGAN02; 976933184; 2817
MARTINIUSSENS BILSERVICE AS; INDUSTRIVEIEN 6; 1820; SPYDEBERG; BILGLASS; 984616740; 29578
BYÅSEN BILSKADESENTER AS; Nils Uhlin Hansensv. 70; 7026; TRONDHEIM; BILSKADE; 979323638; 8026
Jorkjen MC AS.; INDUSTRITOPPEN 4; 4848; ARENDAL; MOTORSYKKELOGMOPED; 999100899; 24461
HUSBY BILVERKSTED AS; Tingvoll; 6630; Tingvoll; BILVERKSTED01, MOTORSYKKELOGMOPED, KONTROLLORGAN01; 912850552; 7819
BILBYEN SKADESENTER FINNSNES AS; BOTNHÅGVEIEN 31; 9308; FINNSNES; BILSKADE; 919638877; 30696
SANDVEN SERVICE AS; SANDBREKKETOPPEN 30; 5224; NESTTUN; BILVERKSTED01, KONTROLLORGAN01; 918716955; 30396
Dalbakk Bil; Monsrudveien 398; 2224; AUSTMARKA; BILSKADE; 892137862; 14779
Lafinto AS; Vallehellene 11; 1664; ROLVSØY; PABYGGER, ALKOLASVERKSTED; 984531257; 344
Volvo Norge AS, Volvo Truck Center avd. Rosenholm; Rosenholmveien 40; 1410; KOLBOTN; BILVERKSTEDALLE, FARTSSKRIVER, KONTROLLORGAN04; 910712799; 19959
AUTOPRO MOSJØEN AS; Brugata 5; 8656; MOSJØEN; BILVERKSTED01, BILSKADE, KONTROLLORGAN01; 975341496; 8851
Kokstad Lakkering og Bilpleie AS; Pb 108 Kokstad; 5863; BERGEN; BILSKADE; 863608562; 24641
Tromsø Kommune Bydrift; Ringveien 70; 9018; TROMSØ; BILVERKSTED01, BILVERKSTED02, BILVERKSTED03, TRAKTOR, KONTROLLORGAN01; 940101808; 9500
Brødr. Andersen AS; Nordre Ringvei 27; 9509; Alta; BILVERKSTED01B, KONTROLLORGAN01B; 987612444; 9605
MAX SOLFILM PORSGRUNN BILGLASS AS; HÅNDVERKSVEGEN 15; 3917; PORSGRUNN; BILGLASS; 998560160; 29611
Avaldsnes Bilverksted AS; Visnesvegen 107; 4262; AVALDSNES; BILVERKSTED01, KONTROLLORGAN01; 923543449; 6454
HANDICARE  Auto, avd. Bergen AS; Espehaugen 51; 5258; BLOMSTERDALEN; BILVERKSTED01, PABYGGER; 965395830; 6721
Andersen bil AS; Mellombygdveien 138; 9321; MOEN; KONTROLLORGAN01, BILVERKSTED01; 920543863; 9812
STEINKJER MEKANISKE AS; BRATLIVEGEN 6; 7725; STEINKJER; PABYGGER; 975907244; 30402
Peder Orø Skar; Skar; 6628; MEISINGSET; BILVERKSTED01B, MOTORSYKKELOGMOPED, KONTROLLORGAN01B, BILVERKSTED01; 969857316; 7836
ØIVINDS BIL OG DEKK Ø BRÆNDSHØI; CHR KROHGSG 1; 0186; OSLO; HJUL; 963872852; 31507
Autoteam AS ; Totlandsveien 8; 5224; NESTTUN; BILVERKSTED01, KONTROLLORGAN01; 983033652; 17721
Maskin & Auto Service AS; Torneroseveien 9; 4315; SANDNES; FARTSSKRIVER, BILVERKSTED01, BILVERKSTED02, BILVERKSTED03, PABYGGER, KONTROLLORGAN04, ALKOLASVERKSTED; 947820370; 5925
NAF  Senter Halden; Knivsøveien 4; 1788; Tistedal; KONTROLLORGAN01B, BILVERKSTED01; 987372540; 458
Skade og Lakk AS; Stabburveien 1; 1617; Fredrikstad; BILSKADE, BILVERKSTED01B; 982174813; 354
Sandnes Bil og Karosseri; Langgata 92 A; 4306; SANDNES; BILSKADE; 995748622; 22860
DEKKTEAM AS, avd. Randsfjord; Musmyrveien 13; 3520; JEVNAKER; HJUL; 870897332; 30641
Superdekk Service Roan; Kråkøyveien 54; 7180; ROAN; HJULUTRUSTNING, BILGLASS; 980670783; 24280
Bertel O. Steen Rogaland AS (tunge); Vassbotnen 9 Forus; 4069; Stavanger; FARTSSKRIVER, BILVERKSTED01, BILVERKSTED02, BILVERKSTED03, PABYGGER, KONTROLLORGAN04, ALKOLASVERKSTED; 912771784; 5985
Å. Andreassen & Co; Løveskogen; 3280; TJODALYNG; BILVERKSTED01; 955537297; 4647
LERSBRYGGEN BIL AS; LERSBRYGGA 7; 3070; SANDE I VESTFOLD; BILVERKSTED01, KONTROLLORGAN01; 986828850; 28615
Auto Nord AS; Skattøravegen 54; 9018; TROMSØ; BILVERKSTED01, KONTROLLORGAN01; 837123992; 9534
Farsund Bilverksted AS; Østre Vatne; 4560; Farsund; BILVERKSTED01, KONTROLLORGAN01; 965870849; 5756
HÆHRE & ISACHSEN VERKSTED AS; Heggenveien 30; 3370; VIKERSUND; BILVERKSTED03; 934176472; 30452
NYLAND ELEKTRO DIESEL AS; Nyrudveien 8; 8654; Mosjøen; BILVERKSTED01, KONTROLLORGAN01; 944731776; 8811
AUNANS BILVERKSTED;  Skaun; 7357; SKAUN; BILVERKSTED01, KONTROLLORGAN01; 970091394; 8137
ÅRDAL LANDBRUK AS; Årdalstunet 13; 4137; ÅRDAL I RYFYLKE; TRAKTOR; 968184245; 29807
VBK Nordic as.; Nedrevei 8; 3191; Horten; PABYGGER; 979340206; 4108
Trøgstad Karosseriverksted; Kirkeveien 51,  ; 1860; Trøgstad; BILSKADE; 939780122; 229
CARGLASS AS avd. Narvik; Verkstedbakken 17; 8514; NARVIK; BILGLASS; 985758220; 29969
NAF Senter Lillestrøm; Sorenskriverveien 29; 2005; RÆLINGEN; KONTROLLORGAN01; 987372540; 1005
Willy bamles Bilverksted AS; Tormod Gjestlandsveg  11; 3936; PORSGRUNN; BILVERKSTED01, KONTROLLORGAN01; 982372399; 4830
ØVERBY BIL; Sigdalsveien 2656; 3350; PRESTFOSS; BILVERKSTED01; 821901332; 31079
BILXTRA SKØYEN AS avd. Trehørningen; Engomsvingen 2; 2323; INGEBERG; BILVERKSTED01B, KONTROLLORGAN01B; 916795521; 31497
CARGLASS AS; Prestegardskogen 2; 5200; OS; BILGLASS; 985758220; 29608
Bil-Spesialisten AS; Bakkane 4; 6220; Straumgjerde; BILVERKSTED01B, KONTROLLORGAN01B; 987807245; 7371
Autospeed AS; Ringvegen 13; 9018; TROMSØ; KONTROLLORGAN01B, BILVERKSTED01B; 983879314; 9532
HANSENSMIA LANDBRUKSVERKSTED BJØRNAR STORSLETT HANSEN; Bergheim, Berkåk; 7391; RENNEBU; BILVERKSTED01; 819186952; 30471
ALENA CARAVAN OG FRITIDSSERVICE AS; Saltfjellveien 14C; 8613; MO I RANA; HENGERESPALOPSBREMSEANLEGG; 918590323; 31060
Martins Bil; Flatinvegen 108; 3800; BØ I TELEMARK; BILSKADE; 980356906; 22560
VOLDSUND MOTOR  A/S. ; Smibakken 1,; 6018; ÅLESUND; BILVERKSTED01, KONTROLLORGAN01; 985834490; 7383
TVEITA BILSERVICE AS; TVETENVEIEN 154; 0671; OSLO; BILVERKSTED01, KONTROLLORGAN01; 914787785; 28421
STRANDA ANLEGGSSERVICE AS; Ødegårdsveien 127; 6200; STRANDA; BILVERKSTED01, BILVERKSTED02, KONTROLLORGAN01B; 879345332; 15118
Kristoffersen Bil AS; Martin Moes gt. 10; 7503; STJØRDAL; BILVERKSTED01, BILVERKSTED01B, KONTROLLORGAN01B; 977188202; 8517
TROFORS BIL OG LANDBRUKSVERKSTED AS; Vassbekkenge; 8680; Trofors; BILVERKSTED01B, TRAKTOR, KONTROLLORGAN01B; 994287621; 8822
ROAN BILVERKSTED AS;  Roansveien 6; 7180; ROAN; BILVERKSTED01, KONTROLLORGAN01; 977302323; 8416
Sveen Bil AS; Sørumsandvegen 102; 1920; SØRUMSAND; BILVERKSTED01; 971649593; 1029
Markveien Karosseri A/S; Ensjøveien11; 0655; Oslo ; BILSKADE; 979952937; 1592
Nordkapp Bilservice AS; Nordkappveien 80; 9750; HONNINGSVÅG; BILVERKSTED01B, KONTROLLORGAN01B; 981519965; 9673
Terje Olsen Bil AS; Storgt. 35; 2830; RAUFOSS; BILSKADE; 961066123; 3001
HALLINGDAL FORMIDLING AS; TORPOVEGEN 82; 3579; TORPO; BILVERKSTED01, KONTROLLORGAN01; 915865925; 29909
Bil & Motorservice AS; Holundsdalen 6; 5430; Urangsvåg; BILVERKSTED01, BILVERKSTED02, BILVERKSTED03, TRAKTOR, KONTROLLORGAN01, KONTROLLORGAN04; 988160091; 6495
Hundvåg Bilverksted AS; Austbøsletta 6; 4085; HUNDVÅG; BILVERKSTED01, KONTROLLORGAN01; 992600365; 12733
BLAKER BIL AS; FJUKVEGEN 7; 1925; BLAKER; KONTROLLORGAN01, BILVERKSTED01; 817719732; 30140
Grimstad Bil AS; Bergemoveien 28; 4886; Grimstad; BILVERKSTED01, KONTROLLORGAN01, BILSKADE; 951110345; 5362
Finangers verksted v/ Ragnar Finanger; Ledang; 7777; Nord-Statland; BILVERKSTED01; 971037075; 8634
B. Johansen Bilservice; Sjyveien 1; 9372; Gibostad; BILVERKSTED01; 980155498; 9811
HURTIGRUTA CARGLASS AS AVD DRØBAK; Holterveien 2; 1448; DRØBAK; BILGLASS; 923857567; 31417
W-Mek Kåre Jensen; Weensvangvegen 438; 2338; ESPA; PABYGGER; 994644696; 20699
MOBIL AS; RANENGET 2; 8626; MO I RANA; KONTROLLORGAN01, BILVERKSTED01; 922584966; 31190
RYDS BILGLASS AS AVD TRONDHEIM; Falkenborgvegen 38; 7044; TRONDHEIM; BILGLASS; 914718589; 29139
Autotechnik as; Torsvang 2; 3271; LARVIK; BILVERKSTED01, KONTROLLORGAN01; 985182450; 4655
Bilia Økern avd. Volvo; Økernveien 115; 0579; OSLO; BILVERKSTED01, KONTROLLORGAN01; 976023188; 1337
SPZ Bilverksted Storebotn AS; Storebotn 3; 5309; KLEPPESTØ; BILVERKSTED01B, KONTROLLORGAN01B; 974538210; 6565
GOTHAM GARAGE AS; SKJÆRVAVEIEN 4; 1466; STRØMMEN; LYSUTSTYR, HJUL; 922227608; 31317
HOLMEN MOTORSERVICE AS; Verkstedveien 15; 2500; Tynset; BILVERKSTED01B, KONTROLLORGAN01B, TRAKTOR; 992842008; 2306
TESLA MOTORS NORWAY AS AVD BERGEN 2 - KOKSTAD; Kokstaddalen 18; 5257; KOKSTAD; BILVERKSTED01; 917303444; 30014
Arendal kommune; Solborg; 4836; Arendal; BILVERKSTEDALLE; 940493021; 5366
HURTIGRUTA CARGLASS AS , avd. Bryne; Morenefaret 1; 4340; BRYNE; BILGLASS; 985758220; 28733
Mjøsbil AS  avd. Verksted; Rambekkvn. 4; 2816; Gjøvik; MOTORSYKKELOGMOPED, BILVERKSTED01B, KONTROLLORGAN01B; 950223243; 2930
NAF Senter Kristiansund; Verkstedveien 9; 6517; Kristiansund N; KONTROLLORGAN01; 987372540; 7870
RUSTEFJELBMA SERVICESENTER AS; RUSTEFJELBMA; 9845; TANA; HJUL; 887634602; 30114
Auto Teknikk Kolbotn AS; Sam Eydesvei 5b; 1412; SOFIEMYR; BILVERKSTED01B, KONTROLLORGAN01B; 988669954; 14798
HÆRE AUTOSERVICE AS; Strandveien 29; 3050; MJØNDALEN; BILVERKSTED01, KONTROLLORGAN01; 923161392; 31263
VESTVIKEN MC-SENTER AS; SØNDRE KULLERØD 2A; 3241; SANDEFJORD; MOTORSYKKELOGMOPED; 990748519; 29993
Stakkeland Dekk & Mekk AS; Sirnesveien 84; 4438; SIRA; HJULUTRUSTNING; 920614345; 13274
Traktor & Anlegg AS; Baklivegen 5; 6454; HJELSET; MOTORSYKKELOGMOPED, TRAKTOR, HENGERESPALOPSBREMSEANLEGG; 984372264; 17559
Toyota Østfold & Follo AS  avd. Sarpsborg og Halden; Sundløkkaveien 71; 1659; Borgenhaugen; BILVERKSTED01, KONTROLLORGAN01, BILSKADE; 983650791; 179
LEKSVIK BILVERKSTED AS; Liafossvegen, Ytterelva Industriområde; 7120; Leksvik; BILVERKSTED01, KONTROLLORGAN01; 944896511; 8640
Sveio Auto AS; Leitevegen 14; 5550; SVEIO; BILSKADE, KONTROLLORGAN01, BILVERKSTED01; 920606229; 6372
Hardanger Bil A/S; Sjusetevegen 4; 5610; ØYSTESE; BILVERKSTED01, KONTROLLORGAN01; 947926349; 6984
Mohagen Bilservice AS; Mohagalia 4; 2770; JAREN; BILVERKSTED01B, KONTROLLORGAN01B; 999540368; 23585
Motor Forum AS avd. Skien; Kjørbekkdalen  13; 3735; SKIEN; BILVERKSTED01B, KONTROLLORGAN01; 957290795; 4840
Ringen Bilverksted AS; Waldemar Thranes gate 86 C; 0175; OSLO; BILVERKSTED01, KONTROLLORGAN01; 912849406; 26722
Østerås Bilsenter AS; Grini Næringspark 1; 1361; ØSTERÅS; BILVERKSTED01, KONTROLLORGAN01; 973053965; 931
Furnesvegen Bil & MC AS; Furnesvegen 42 ; 2318; HAMAR; BILVERKSTED01, KONTROLLORGAN01, MOTORSYKKELOGMOPED; 998233089; 21999
STENSLETTE BIL OG MASKIN; KAPELLVEIEN 10; 9310; SØRREISA; HJUL, HENGERESPALOPSBREMSEANLEGG; 989162640; 28933
DEKKCENTERET FREDRIKSTAD AS; LØENVEIEN 3; 1653; SELLEBAKK; HJUL; 976540212; 30938
IVAR SYLTE AS; GAMLE ROMSDALSVEGEN 5; 6300; ÅNDALSNES; HJUL; 916509782; 30096
EIDSVÅG AUTO A/S; Eidsvågbakken 21; 5105; EIDSVÅG I ÅSANE; BILVERKSTED01, BILSKADE, KONTROLLORGAN01; 917729220; 6598
Team Verksted AS avd. Bodø; Stormyravn.52; 8008; BODØ; FARTSSKRIVER, BILVERKSTEDALLE, KONTROLLORGAN04, ALKOLASVERKSTED; 976891783; 9088
Ingebrigt Dalset bilverksted; Rødven; 6350; Eidsbygda; BILVERKSTED01B, TRAKTOR; 959662010; 7647
OSLO BILGLASS AS; Bedriftsveien 6; 0950; OSLO; BILGLASS; 989140523; 29837
DEKK OG DELER AS avd. OS; Hegglandsvegen ; 5211; OS; HJUL; 996430022; 31455
GRONG BILSERVICE AS; Mediå; 7870; Grong; BILVERKSTED01B, KONTROLLORGAN01B; 939231978; 8716
BYGGMANN NORD AS; Kulturveien 3589; 8100; MISVÆR; BILVERKSTED01; 992552271; 29766
Lasses Bilverksted AS; Øysand; 7224; MELHUS; BILVERKSTED01, KONTROLLORGAN01; 996330206; 17660
TORVIK AUTO AS; STRØMSVEIEN 223; 0668; OSLO; KONTROLLORGAN01B, BILVERKSTED01B; 916636679; 29867
DEKKTEAM AS; Vestsidevegen 56; 2420; TRYSIL; HJUL; 870897332; 31420
MPS Micropaint Trondheim AS; Bromstadvegen 57; 7047; TRONDHEIM; BILSKADE; 911660334; 23920
Felleskjøpet AGRI SA, avd Levanger; Moafjæra 5 A; 7606; LEVANGER; TRAKTOR, HENGERESPALOPSBREMSEANLEGG; 911608103; 18820
RYDS BILGLASS AS avd. Stavanger; Dalsetveien 2; 4018; STAVANGER; BILGLASS; 913387783; 31251
Nylunds Bilelektrisk AS; Falcks gate 4; 4011; STAVANGER; BILVERKSTED01, BILELEKTRODRIVSTOFFANLEGG, KONTROLLORGAN01; 951106143; 5950
Autopartner Egersund AS; Svanavågvn 12 ; 4374; EGERSUND; BILVERKSTED01, MOTORSYKKELOGMOPED, KONTROLLORGAN01; 994536176; 15219
BIL & BO A/S; Rypefjord ; 9610; Rypefjord; BILVERKSTED01, KONTROLLORGAN01; 918029478; 9657
CENTRALGARAGEN A/S; Landfalløya 7; 3007; DRAMMEN; BILVERKSTED01, KONTROLLORGAN01; 911010992; 3628
Evje Bil AS; Verksmoen.; 4735; EVJE; BILVERKSTED01, KONTROLLORGAN01; 998573661; 23020
Unibuss AS; Strømsveien 196/198; 0614; OSLO; BILVERKSTEDALLE, KONTROLLORGAN04, FARTSSKRIVER; 985615616; 1543
TRAMA HARSTAD AS; RUGGEVIKVEIEN 13; 9415; HARSTAD; TRAKTOR, MOTORSYKKELOGMOPED; 983174035; 30677
BERTEL O STEEN ROGALAND AS avd. Buss; Moseidsletta 101; 4033; STAVANGER; KONTROLLORGAN03, BILVERKSTED03; 912771784; 30132
KRIMINALOMSORGSDIREKTORATET; Kustisveien 10; 1788; HALDEN; KONTROLLORGAN01, BILVERKSTED01; 911830868; 29478
